"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0W130","2019-09-10 00:00:00","18.000","243.000","1.100","27.100","0.890","1005.400","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","25.300",""
"C0C700","2019-09-10 00:00:00","151.000","127.000","1.000","27.600","0.650","991.300","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","24.700",""
"C0R100","2019-09-10 00:00:00","1006.000","321.000","0.700","20.800","0.990","900.800","-99.000","0.000","-99.000","-99.000","-99.000","25.900","","18.500",""
"C0X120","2019-09-10 00:00:00","28.000","131.000","1.200","27.200","0.870","1006.200","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","25.800",""
"C0R670","2019-09-10 00:00:00","26.000","54.000","1.700","27.900","-99.000","1006.000","-99.000","-99.000","-99.000","-99.000","-99.000","30.600","","26.400",""
"C0W110","2019-09-10 00:00:00","16.000","40.000","1.800","-99.000","-99.000","1007.400","-99.000","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"CM0130","2019-09-10 00:00:00","11.000","81.000","1.300","26.900","0.740","1007.800","-99.000","10.000","-99.000","-99.000","-99.000","30.300","","26.700",""
"C0AC70","2019-09-10 00:00:00","71.000","0.000","0.000","28.000","0.660","1000.100","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","23.700",""
"CM0100","2019-09-10 00:00:00","25.000","57.000","1.000","26.800","0.810","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","23.200",""
"C0X050","2019-09-10 00:00:00","25.000","203.000","1.000","26.800","0.890","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","35.200","","24.800",""
"C0K580","2019-09-10 00:00:00","26.000","193.000","0.700","27.700","0.910","1006.300","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","25.500",""
"C0G650","2019-09-10 00:00:00","34.000","162.000","0.300","27.200","0.970","1004.000","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","25.800",""
"C0T9B0","2019-09-10 00:00:00","558.000","159.000","1.200","22.400","0.870","949.300","-99.000","0.000","-99.000","-99.000","-99.000","27.600","","21.000",""
"C0E850","2019-09-10 00:00:00","104.000","86.000","0.400","25.000","0.880","995.900","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","22.500",""
"C0S990","2019-09-10 00:00:00","409.000","15.000","2.700","23.700","0.980","964.500","-99.000","0.000","-99.000","-99.000","-99.000","26.200","","23.400",""
"C0X240","2019-09-10 00:00:00","394.000","144.000","0.700","25.100","0.930","965.600","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","22.200",""
"C0I090","2019-09-10 00:00:00","910.000","155.000","0.800","22.000","0.930","910.700","-99.000","0.000","-99.000","-99.000","-99.000","26.800","","19.400",""
"C0I490","2019-09-10 00:00:00","1601.000","340.000","0.600","18.200","0.990","840.900","-99.000","0.000","-99.000","-99.000","-99.000","24.300","","16.000",""
"C0Z050","2019-09-10 00:00:00","830.000","0.000","0.000","21.400","0.810","921.300","-99.000","0.000","-99.000","-99.000","-99.000","26.500","","19.300",""
"C0X150","2019-09-10 00:00:00","18.000","142.000","0.600","28.500","0.850","1007.600","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.400",""
"C0R690","2019-09-10 00:00:00","248.000","9.000","0.900","24.500","-99.000","980.500","-99.000","-99.000","-99.000","-99.000","-99.000","27.500","","23.700",""
"C0U720","2019-09-10 00:00:00","1260.000","245.000","0.600","19.400","0.990","885.800","-99.000","0.000","-99.000","-99.000","-99.000","26.100","","17.300",""
